trip_name,trip_link,status,hsh
Same Day Agra Tour With Taj Mahal from Bangalore By Return Flights,https://www.tripadvisor.com/AttractionProductReview-g297628-d17647084-Same_Day_Agra_Tour_With_Taj_Mahal_from_Bangalore_By_Return_Flights-Bengaluru_Banga.html,PENDING,af6dd32a5d99cc281b680aac51cd85a8
"Poetry in Stone Tour - Shravanabelagola, Belur & Halebidu with Breakfast & Lunch",https://www.tripadvisor.com/AttractionProductReview-g297628-d17775895-Poetry_in_Stone_Tour_Shravanabelagola_Belur_Halebidu_with_Breakfast_Lunch-Bengalur.html,PENDING,84302fd4717af0f8fd3c1b9552c9664c
Belur and Halebidu From Bangalore,https://www.tripadvisor.com/AttractionProductReview-g297628-d20926859-Belur_and_Halebidu_From_Bangalore-Bengaluru_Bangalore_District_Karnataka.html,PENDING,f4a5f8e50fa595c6e34366bd77cb55ac
Full Day Private tour of Mysore from Bangalore with pick up and drop-off,https://www.tripadvisor.com/AttractionProductReview-g297628-d12987246-Full_Day_Private_tour_of_Mysore_from_Bangalore_with_pick_up_and_drop_off-Bengaluru.html,PENDING,c1fdd0a91ca5c2ca89af46e5d5273204
Private tour of Chitradurga fort from Bangalore in car with guide and lunch,https://www.tripadvisor.com/AttractionProductReview-g297628-d11991605-Private_tour_of_Chitradurga_fort_from_Bangalore_in_car_with_guide_and_lunch-Bengal.html,PENDING,fbc2ddd88d02c6293f5d867002aa0ab1
A Day At Nandi,https://www.tripadvisor.com/AttractionProductReview-g297628-d19008379-A_Day_At_Nandi-Bengaluru_Bangalore_District_Karnataka.html,PENDING,69661b56f3f4c7965d6692fe7453b077
Private Excursion to Mysore and Srirangapatna from Bengaluru,https://www.tripadvisor.com/AttractionProductReview-g297628-d12468779-Private_Excursion_to_Mysore_and_Srirangapatna_from_Bengaluru-Bengaluru_Bangalore_D.html,PENDING,f2cb5c3621a7c067a05350bfaa731806
1-Day Trip to Jaipur with Commercial Return Flights,https://www.tripadvisor.com/AttractionProductReview-g297628-d12961436-1_Day_Trip_to_Jaipur_with_Commercial_Return_Flights-Bengaluru_Bangalore_District_K.html,PENDING,73f9caa0380732e4a864156c261e2ce9
Sholay Adventure - bike & hike,https://www.tripadvisor.com/AttractionProductReview-g297628-d17523891-Sholay_Adventure_bike_hike-Bengaluru_Bangalore_District_Karnataka.html,PENDING,bc97b237a5ddb5f6bf712ac55fbc7cfc
Bangalore Full Day City Tour,https://www.tripadvisor.com/AttractionProductReview-g297628-d19765094-Bangalore_Full_Day_City_Tour-Bengaluru_Bangalore_District_Karnataka.html,PENDING,f8f30189565b2c2340437b480af85a53
Full Day Private Tour of Temples of Bengaluru,https://www.tripadvisor.com/AttractionProductReview-g297628-d12468778-Full_Day_Private_Tour_of_Temples_of_Bengaluru-Bengaluru_Bangalore_District_Karnata.html,PENDING,11e3b233f8de08f28e7777facdb1567d
Folk art trail in Bangalore,https://www.tripadvisor.com/AttractionProductReview-g297628-d14986251-Folk_art_trail_in_Bangalore-Bengaluru_Bangalore_District_Karnataka.html,PENDING,ade82b4b3fdde7cc0a689ed772151417
South Bangalore Biking Expedition,https://www.tripadvisor.com/AttractionProductReview-g297628-d15803093-South_Bangalore_Biking_Expedition-Bengaluru_Bangalore_District_Karnataka.html,PENDING,f64407b93fd01530d857f7b01e2ab259
"Full Day Excursion Tour of Belur, Halebeedu & Shravanabelagola from Bangalore",https://www.tripadvisor.com/AttractionProductReview-g297628-d17681870-Full_Day_Excursion_Tour_of_Belur_Halebeedu_Shravanabelagola_from_Bangalore-Bengalu.html,PENDING,873392c309629457d958a781dd656ad2
Day Excursion To Shravanabelagola From Bangalore,https://www.tripadvisor.com/AttractionProductReview-g297628-d15097736-Day_Excursion_To_Shravanabelagola_From_Bangalore-Bengaluru_Bangalore_District_Karn.html,PENDING,ff9ef633653973446fcbc5bc96593076
Day Private Tour to Mysore and Srirangapatna from Bengaluru,https://www.tripadvisor.com/AttractionProductReview-g297628-d20804832-Day_Private_Tour_to_Mysore_and_Srirangapatna_from_Bengaluru-Bengaluru_Bangalore_Di.html,PENDING,39011b531dd34b51edb905d5d38a05e7
Stone Sculptor Trail,https://www.tripadvisor.com/AttractionProductReview-g297628-d17682457-Stone_Sculptor_Trail-Bengaluru_Bangalore_District_Karnataka.html,PENDING,ac437dd630acbbcc487501c0cbb02f66
Full Day Private Channarayana Durga Trek from Bangalore,https://www.tripadvisor.com/AttractionProductReview-g297628-d20271436-Full_Day_Private_Channarayana_Durga_Trek_from_Bangalore-Bengaluru_Bangalore_Distri.html,PENDING,b43b23692a64f754a9c9c91aafc55e1f
Private Day Trip to Hassan from Bangalore,https://www.tripadvisor.com/AttractionProductReview-g297628-d12577775-Private_Day_Trip_to_Hassan_from_Bangalore-Bengaluru_Bangalore_District_Karnataka.html,PENDING,17f473b05a1b4c9eff0532d96fea10dd
Guided Bicycle Tour of Bangalore's Countryside,https://www.tripadvisor.com/AttractionProductReview-g297628-d13957150-Guided_Bicycle_Tour_of_Bangalore_s_Countryside-Bengaluru_Bangalore_District_Karnat.html,PENDING,9ab45ed989f9f78dcd9bf824d6f3e9fa
Srirangapatna & Mysore,https://www.tripadvisor.com/AttractionProductReview-g297628-d19008378-Srirangapatna_Mysore-Bengaluru_Bangalore_District_Karnataka.html,PENDING,861f3281041be620cf337e837522b211
Day Trip to The Taj Mahal and Agra from Bangalore with Commercial Return Flights,https://www.tripadvisor.com/AttractionProductReview-g297628-d12978874-Day_Trip_to_The_Taj_Mahal_and_Agra_from_Bangalore_with_Commercial_Return_Flights-B.html,PENDING,a1d3fcc7325884dd1fe8287e37b1446c
"Srirangapatna & Hosaholalu - Of Forts, Temples And Farms",https://www.tripadvisor.com/AttractionProductReview-g297628-d19148381-Srirangapatna_Hosaholalu_Of_Forts_Temples_And_Farms-Bengaluru_Bangalore_District_K.html,PENDING,d2a4c6d9bae48ce5d590c1899e2f3183
Cursed Talakadu temples and Somnathpur from Bangalore,https://www.tripadvisor.com/AttractionProductReview-g297628-d20101900-Cursed_Talakadu_temples_and_Somnathpur_from_Bangalore-Bengaluru_Bangalore_District.html,PENDING,7a99d2dc91d8ea6f8ae64ba1e017e13f
Bangalore sightseeing with monuments entrances,https://www.tripadvisor.com/AttractionProductReview-g297628-d19692993-Bangalore_sightseeing_with_monuments_entrances-Bengaluru_Bangalore_District_Karnat.html,PENDING,dadafbe6dea95bd93a412fb5a2f324ca
Taj mahal tour from Bangalore in One day with Round ticket and Multiple offers,https://www.tripadvisor.com/AttractionProductReview-g297628-d18911215-Taj_mahal_tour_from_Bangalore_in_One_day_with_Round_ticket_and_Multiple_offers-Ben.html,PENDING,714bd9352043fa7e188a39b1f0fe5622
Bangalore Highlights Full Day Private City Tour,https://www.tripadvisor.com/AttractionProductReview-g297628-d14942979-Bangalore_Highlights_Full_Day_Private_City_Tour-Bengaluru_Bangalore_District_Karna.html,PENDING,19e15c06318f258202bcbf3de9e3e469
Excursion To Karkala And Moodabidri From Mangalore,https://www.tripadvisor.com/AttractionProductReview-g297628-d15140582-Excursion_To_Karkala_And_Moodabidri_From_Mangalore-Bengaluru_Bangalore_District_Ka.html,PENDING,3d2f1a601e444878f623b0762224649c
